Assessment.Unit,ReachName,Basin,Spring.Chinook.Reach,Steelhead.Reach,AU Restoration Rank,AU Protection Rank,Large_Cobble_Riffle_Percent,Small_Cobble_Riffle_Percent,Pool_Tails_Percent,Scour_Pools_Percent
Okanogan-Haynes Creek North,Okanogan 16-47,Okanogan,no,yes,2,1,0,0,0,0
Okanogan-Davis Canyon,Okanogan 16-5,Okanogan,no,yes,2,3,,,,
Okanogan-Davis Canyon,Okanogan 16-6,Okanogan,no,yes,2,3,,,,
Okanogan-Davis Canyon,Okanogan 16-7,Okanogan,no,yes,2,3,,,,
Okanogan-Davis Canyon,Okanogan 16-8,Okanogan,no,yes,2,3,,,,
Okanogan-Talant Creek,Okanogan 16-9,Okanogan,no,yes,2,3,,,,
Okanogan-Haynes Creek South,Okanogan Crosschannel 16-1,Okanogan,no,yes,2,2,,,,
Omak Creek-Lower DS,Omak 16-1,Okanogan,no,yes,1,1,35,5,5,0
Omak Creek-Lower US,Omak 16-10,Okanogan,no,yes,1,1,70,0,2,8
Omak Creek-Middle DS,Omak 16-11,Okanogan,no,yes,2,2,,,,
Omak Creek-Middle DS,Omak 16-12,Okanogan,no,yes,2,2,,,,
Omak Creek-Middle DS,Omak 16-13,Okanogan,no,yes,2,2,,,,
Omak Creek-Upper DS,Omak 16-14,Okanogan,no,yes,2,2,,,,
Omak Creek-Upper DS,Omak 16-15,Okanogan,no,yes,2,2,,,,
Omak Creek-Upper DS,Omak 16-16,Okanogan,no,yes,2,2,,,,
Omak Creek-Upper DS,Omak 16-17,Okanogan,no,yes,2,2,,,,
Omak Creek-Lower DS,Omak 16-2,Okanogan,no,yes,1,1,52.5,5,2.5,5
Omak Creek-Lower DS,Omak 16-3,Okanogan,no,yes,1,1,10,10,20,36
Omak Creek-Lower DS,Omak 16-4,Okanogan,no,yes,1,1,0,20,0,0
Omak Creek-Lower US,Omak 16-5,Okanogan,no,yes,1,1,60,0,4,0
Omak Creek-Lower US,Omak 16-6,Okanogan,no,yes,1,1,66.7,2.6,2.1,8.3
Omak Creek-Lower US,Omak 16-7,Okanogan,no,yes,1,1,59.2,0,10.2,0
Omak Creek-Lower US,Omak 16-8,Okanogan,no,yes,1,1,30,20,4,16
Omak Creek-Lower US,Omak 16-9,Okanogan,no,yes,1,1,18.9,16.2,2.3,37.4
Salmon Creek-Lower,Salmon 16-1,Okanogan,no,yes,1,1,60,0,0,0
Salmon Creek-Lower,Salmon 16-10,Okanogan,no,yes,1,1,10.4,6.3,10.4,62.5
Salmon Creek-Lower,Salmon 16-11,Okanogan,no,yes,1,1,53.1,0,0,6.1
Salmon Creek-Lower,Salmon 16-12,Okanogan,no,yes,1,1,47.7,4.1,5.1,14.2
Salmon Creek-Lower,Salmon 16-13,Okanogan,no,yes,1,1,0,0,2.2,8.9
Salmon Creek-Lower,Salmon 16-2,Okanogan,no,yes,1,1,85.1,0,2,8.5
Salmon Creek-Lower,Salmon 16-3,Okanogan,no,yes,1,1,10,10,5,20
Salmon Creek-Lower,Salmon 16-4,Okanogan,no,yes,1,1,0,10,8,32
Salmon Creek-Lower,Salmon 16-5,Okanogan,no,yes,1,1,34.2,10.1,1.2,12.4
Salmon Creek-Lower,Salmon 16-6,Okanogan,no,yes,1,1,14.4,15.9,5.4,28.3
Salmon Creek-Lower,Salmon 16-7,Okanogan,no,yes,1,1,12.5,17.5,5,24
Salmon Creek-Lower,Salmon 16-8,Okanogan,no,yes,1,1,14.4,15.9,5.4,28.3
Salmon Creek-Lower,Salmon 16-9,Okanogan,no,yes,1,1,14.4,15.9,5.4,28.3
Similkameen River,Similkameen 16-1,Okanogan,no,yes,1,1,0,0,0,0
Similkameen River,Similkameen 16-2,Okanogan,no,yes,1,1,0,0,0,0
Similkameen River,Similkameen 16-3,Okanogan,no,yes,1,1,10.6,5.3,2.6,21.2
Similkameen River,Similkameen 16-4,Okanogan,no,yes,1,1,0,0,0,0
Similkameen River,Similkameen 16-5,Okanogan,no,yes,1,1,20,0,6,24
Similkameen River,Similkameen 16-6,Okanogan,no,yes,1,1,33.1,2.1,5.6,51.6
Siwash Creek-Lower DS,Siwash 16-1,Okanogan,no,no,3,3,,,,
Omak Creek-Middle DS,Stapaloop 16-1,Okanogan,no,yes,2,2,,,,
Omak Creek-Middle DS,Stapaloop 16-2,Okanogan,no,yes,2,2,,,,
Omak Creek-Middle DS,Swimptkin 16-1,Okanogan,no,yes,2,2,,,,
Tonasket Creek DS,Tonasket 16-1,Okanogan,no,yes,2,1,22.2,0,22.2,22.2
Tonasket Creek DS,Tonasket 16-2,Okanogan,no,yes,2,1,22.2,0,22.2,22.2
Omak Creek-Upper DS,Trail 16-1,Okanogan,no,yes,2,2,,,,
Tunk Creek-Lower DS,Tunk 16-1,Okanogan,no,yes,3,2,,,,
Wanacut Creek DS,Wanacut 16-1,Okanogan,no,yes,3,2,,,,
Wanacut Creek DS,Wanacut 16-2,Okanogan,no,yes,3,2,,,,
Wanacut Creek DS,Wanacut 16-3,Okanogan,no,yes,3,2,,,,
Whitestone Creek,Whitestone 16-1,Okanogan,no,no,3,3,,,,
Whitestone Creek,Whitestone 16-2,Okanogan,no,no,3,3,,,,
Whitestone Creek,Whitestone 16-3,Okanogan,no,no,3,3,,,,
Wildhorse Spring Creek,Wildhorse 16-1,Okanogan,no,yes,3,3,,,,
Wildhorse Spring Creek,Wildhorse 16-2,Okanogan,no,yes,3,3,,,,
