"Assessment.Unit","ReachName","Basin","Spring.Chinook.Reach","Steelhead.Reach","AU Restoration Rank","AU Protection Rank"
"Omak Creek-Lower US","Omak 16-5","Okanogan","no","yes",1,1
"Omak Creek-Lower US","Omak 16-10","Okanogan","no","yes",1,1
"Omak Creek-Lower US","Omak 16-8","Okanogan","no","yes",1,1
"Omak Creek-Lower US","Omak 16-9","Okanogan","no","yes",1,1
"Omak Creek-Lower US","Omak 16-6","Okanogan","no","yes",1,1
"Omak Creek-Lower US","Omak 16-7","Okanogan","no","yes",1,1
"Omak Creek-Middle DS","Omak 16-13","Okanogan","no","yes",2,2
"Omak Creek-Middle DS","Omak 16-11","Okanogan","no","yes",2,2
"Omak Creek-Middle DS","Omak 16-12","Okanogan","no","yes",2,2
"Omak Creek-Middle DS","Stapaloop 16-2","Okanogan","no","yes",2,2
"Omak Creek-Middle DS","Swimptkin 16-1","Okanogan","no","yes",2,2
"Omak Creek-Middle DS","Stapaloop 16-1","Okanogan","no","yes",2,2
"Omak Creek-Upper DS","Omak 16-16","Okanogan","no","yes",2,2
"Omak Creek-Upper DS","Omak 16-14","Okanogan","no","yes",2,2
"Omak Creek-Upper DS","Omak 16-15","Okanogan","no","yes",2,2
"Omak Creek-Upper DS","Omak 16-17","Okanogan","no","yes",2,2
"Omak Creek-Upper DS","Trail 16-1","Okanogan","no","yes",2,2
"Salmon Creek-Lower","Salmon 16-11","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-10","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-3","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-12","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-1","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-2","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-7","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-8","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-13","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-5","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-6","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-4","Okanogan","no","yes",1,1
"Salmon Creek-Lower","Salmon 16-9","Okanogan","no","yes",1,1
"Similkameen River","Similkameen 16-3","Okanogan","no","yes",1,1
"Similkameen River","Similkameen 16-2","Okanogan","no","yes",1,1
"Similkameen River","Similkameen 16-4","Okanogan","no","yes",1,1
"Similkameen River","Similkameen 16-1","Okanogan","no","yes",1,1
"Similkameen River","Similkameen 16-6","Okanogan","no","yes",1,1
"Similkameen River","Similkameen 16-5","Okanogan","no","yes",1,1
"Siwash Creek-Lower DS","Siwash 16-1","Okanogan","no","no",3,3
"Tonasket Creek DS","Tonasket 16-1","Okanogan","no","yes",2,1
"Tonasket Creek DS","Tonasket 16-2","Okanogan","no","yes",2,1
"Tunk Creek-Lower DS","Tunk 16-1","Okanogan","no","yes",3,2
"Wanacut Creek DS","Wanacut 16-1","Okanogan","no","yes",3,2
"Wanacut Creek DS","Wanacut 16-2","Okanogan","no","yes",3,2
"Wanacut Creek DS","Wanacut 16-3","Okanogan","no","yes",3,2
"Whitestone Creek","Whitestone 16-1","Okanogan","no","no",3,3
"Whitestone Creek","Whitestone 16-2","Okanogan","no","no",3,3
"Whitestone Creek","Whitestone 16-3","Okanogan","no","no",3,3
"Wildhorse Spring Creek","Wildhorse 16-1","Okanogan","no","yes",3,3
"Wildhorse Spring Creek","Wildhorse 16-2","Okanogan","no","yes",3,3
